company,"Uber Technologies, Inc.'s"
symbol,UBER
month,5
day,30
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4267450-uber-technologies-inc-s-uber-ceo-dara-khosrowshahi-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Uber Technologies, Inc.'s (UBER) CEO Dara Khosrowshahi on Q1 2019 Results - Earnings Call Transcript</a>"
