company,EVINE Live Inc.
symbol,EVLV
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267029-evine-live-inc-evlv-ceo-tim-peterman-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">EVINE Live Inc. (EVLV) CEO Tim Peterman on Q1 2019 Results - Earnings Call Transcript</a>"
