company,Lloyds Banking Group plc
symbol,LYG
month,10
day,22
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215643-lloyds-banking-group-plc-lyg-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Lloyds Banking Group plc (LYG) Q3 2018 Results - Earnings Call Transcript</a>"
