company,Firstgroup PLC
day,13
link,"<a class=""dashboard-article-link"" href=""/article/4222674-firstgroup-plc-fgrof-ceo-matthew-gregory-half-year-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Firstgroup PLC (FGROF) CEO Matthew Gregory on Half Year 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,FGROF
year,18
