company,Lightbridge Corp.
day,12
link,"<a class=""dashboard-article-link"" href=""/article/4222945-lightbridge-corp-ltbr-ceo-seth-grae-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Lightbridge Corp. (LTBR) CEO Seth Grae on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,LTBR
year,18
