company,"Jacobs Engineering Group, Inc."
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4223676-jacobs-engineering-group-inc-jec-ceo-steve-demetriou-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Jacobs Engineering Group, Inc. (JEC) CEO Steve Demetriou on Q4 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q4
symbol,JEC
year,18
