company,JBS S.A.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222389-jbs-s-jbsaf-ceo-andre-nogueira-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">JBS S.A. (JBSAF) CEO André Nogueira on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,JBSAF
year,18
