company,Noah Holdings Limited
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223414-noah-holdings-limited-noah-ceo-jingbo-wang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Noah Holdings Limited (NOAH) CEO Jingbo Wang on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NOAH
year,18
