company,"Intevac, Inc."
symbol,IVAC
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215653-intevac-inc-ivac-ceo-wendell-blonigan-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Intevac, Inc. (IVAC) CEO Wendell Blonigan on Q3 2018 Results - Earnings Call Transcript</a>"
