company,"Transcontinental, Inc."
symbol,TCLAF
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268924-transcontinental-inc-tclaf-ceo-francois-olivier-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Transcontinental, Inc. (TCLAF) CEO François Olivier on Q2 2019 Results - Earnings Call Transcript</a>"
