company,Evertz Technologies Limited
symbol,EVTZF
month,6
day,20
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271387-evertz-technologies-limited-evtzf-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Evertz Technologies Limited (EVTZF) Q4 2019 Results - Earnings Call Transcript</a>"
