company,The Kroger Co.
symbol,KR
month,6
day,20
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271303-kroger-co-kr-ceo-rodney-mcmullen-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">The Kroger Co. (KR) CEO Rodney McMullen on Q1 2019 Results - Earnings Call Transcript</a>"
