company,"J.Jill, Inc.'s"
symbol,JILL
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267307-j-jill-inc-s-jill-ceo-linda-heasley-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">J.Jill, Inc.'s (JILL) CEO Linda Heasley on Q1 2019 Results - Earnings Call Transcript</a>"
