company,Sienna Sr Living Inc.
day,6
link,"<a class=""dashboard-article-link"" href=""/article/4222524-sienna-sr-living-inc-lwscf-ceo-lois-cormack-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sienna Sr Living Inc. (LWSCF) CEO Lois Cormack on Q3 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,LWSCF
year,18
