company,"Zuora, Inc."
symbol,ZUO
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267442-zuora-inc-zuo-ceo-tien-tzuo-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Zuora, Inc. (ZUO) CEO Tien Tzuo on Q1 2020 Results - Earnings Call Transcript</a>"
