company,Huazhu Group Limited ADR
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4222738-huazhu-group-limited-adr-htht-ceo-jenny-zhang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Huazhu Group Limited ADR (HTHT) CEO Jenny Zhang on Q3 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,HTHT
year,18
