company,Splunk Inc.
symbol,SPLK
month,5
day,23
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266266-splunk-inc-splk-ceo-doug-merritt-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Splunk Inc. (SPLK) CEO Doug Merritt on Q1 2020 Results - Earnings Call Transcript</a>"
