company,Genesco Inc.
symbol,GCO
month,5
day,31
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267722-genesco-inc-gco-ceo-rob-dennis-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Genesco Inc. (GCO) CEO Rob Dennis on Q1 2020 Results - Earnings Call Transcript</a>"
