company,Canada Goose Holdings Inc.
symbol,GOOS
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267076-canada-goose-holdings-inc-goos-ceo-dani-reiss-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Canada Goose Holdings Inc. (GOOS) CEO Dani Reiss on Q4 2019 Results - Earnings Call Transcript</a>"
