company,Navistar International Corporation
symbol,NAV
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268217-navistar-international-corporation-nav-ceo-troy-clarke-q2-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Navistar International Corporation (NAV) CEO Troy Clarke on Q2 2019 Results - Earnings Call Transcript</a>"
