company,"Simpson Manufacturing Co., Inc."
symbol,SSD
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215666-simpson-manufacturing-co-inc-ssd-ceo-karen-colonias-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Simpson Manufacturing Co., Inc. (SSD) CEO Karen Colonias on Q3 2018 Results - Earnings Call Transcript</a>"
