company,"PepsiCo, Inc."
symbol,PEP
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255084-pepsico-inc-pep-ceo-ramon-laguarta-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">PepsiCo, Inc. (PEP) CEO Ramon Laguarta on Q1 2019 Results - Earnings Call Transcript</a>"
