company,"Ulta Beauty, Inc."
symbol,ULTA
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267454-ulta-beauty-inc-ulta-ceo-mary-dillon-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ulta Beauty, Inc. (ULTA) CEO Mary Dillon On Q1 2019 Results - Earnings Call Transcript</a>"
