company,Sage Group's
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223853-sage-groups-sggef-ceo-steve-hare-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sage Group's (SGGEF) CEO Steve Hare on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,SGGEF
year,18
