company,Lexinfintech Holdings Ltd
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222395-lexinfintech-holdings-ltd-lx-ceo-jay-xiao-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Lexinfintech Holdings Ltd (LX) CEO Jay Xiao on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,LX
year,18
