company,New Jersey Resources Corporation
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223586-new-jersey-resources-corporation-njr-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">New Jersey Resources Corporation (NJR) Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,NJR
year,18
