company,Golden Ocean Group
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223618-golden-ocean-group-gogl-ceo-birgitte-vartdal-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Golden Ocean Group (GOGL) CEO, Birgitte Vartdal on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,GOGL
year,18
