company,"StealthGas, Inc."
day,23
link,"<a class=""dashboard-article-link"" href=""/article/4224219-stealthgas-inc-gass-ceo-harry-vafias-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">StealthGas, Inc. (GASS) CEO Harry Vafias on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,GASS
year,18
