company,Svenska Handelsbanken AB PUBL's
symbol,SVNLF
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255044-svenska-handelsbanken-ab-publs-svnlf-management-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Svenska Handelsbanken AB PUBL's (SVNLF) Management on Q1 2019 Results - Earnings Call Transcript</a>"
