company,China Zenix's
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222593-china-zenixs-zx-ceo-junqiu-gao-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">China Zenix's (ZX) CEO Junqiu Gao on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,ZX
year,18
