company,Korn Ferry
symbol,KFY
month,6
day,20
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271402-korn-ferry-kfy-ceo-gary-burnison-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Korn Ferry (KFY) CEO Gary Burnison on Q4 2019 Results - Earnings Call Transcript</a>"
