company,RH's
symbol,RH
month,6
day,12
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269990-rhs-rh-ceo-gary-friedman-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">RH's (RH) CEO Gary Friedman on Q1 2019 Results - Earnings Call Transcript</a>"
