company,"Charlotte's Web Holdings, Inc."
symbol,CWBHF
month,5
day,28
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4267410-charlottes-web-holdings-inc-cwbhf-ceo-deanie-elsner-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Charlotte's Web Holdings, Inc. (CWBHF) CEO Deanie Elsner on Q1 2019 Results - Earnings Call Transcript</a>"
