company,"EZCORP, Inc."
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222606-ezcorp-inc-ezpw-ceo-stuart-grimshaw-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">EZCORP, Inc. (EZPW) CEO Stuart Grimshaw on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,EZPW
year,18
