company,"Guidewire Software, Inc."
symbol,GWRE
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268338-guidewire-software-inc-gwre-ceo-marcus-ryu-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Guidewire Software, Inc. (GWRE) CEO Marcus Ryu on Q3 2019 Results - Earnings Call Transcript</a>"
