company,"Guess', Inc."
symbol,GES
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268926-guess-inc-ges-ceo-carlos-alberini-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Guess', Inc. (GES) CEO Carlos Alberini on Q1 2020 Results - Earnings Call Transcript</a>"
