company,Semtech Corporation
symbol,SMTC
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267179-semtech-corporation-smtc-ceo-mohan-maheswaran-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Semtech Corporation (SMTC) CEO Mohan Maheswaran on Q1 2020 Results - Earnings Call Transcript</a>"
