company,GameStop Corp.
symbol,GME
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268327-gamestop-corp-gme-ceo-george-sherman-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">GameStop Corp. (GME) CEO George Sherman on Q1 2019 Results - Earnings Call Transcript</a>"
