company,Consolidated-Tomoka Land Co.
symbol,CTO
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254965-consolidated-tomoka-land-co-cto-ceo-john-albright-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Consolidated-Tomoka Land Co. (CTO) CEO John Albright on Q1 2019 Results - Earnings Call Transcript</a>"
