company,Fanhua Inc.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223777-fanhua-inc-fanh-ceo-chunlin-wang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Fanhua Inc. (FANH) CEO Chunlin Wang On Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,FANH
year,18
