company,"Box, Inc."
symbol,BOX
month,6
day,3
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268092-box-inc-box-ceo-aaron-levie-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Box, Inc. (BOX) CEO Aaron Levie on Q1 2020 Results - Earnings Call Transcript</a>"
