company,"Spectrum Brands, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4223320-spectrum-brands-inc-spb-ceo-david-maura-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Spectrum Brands, Inc. (SPB) CEO David Maura on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,SPB
year,18
