company,Nortech Systems Inc.
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222608-nortech-systems-inc-nsys-ceo-rich-wasielewski-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Nortech Systems Inc. (NSYS) CEO Rich Wasielewski on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NSYS
year,18
