type,name
Executives,Stephen Robert Binnie - Executive Director and Chief Executive Officer
Executives,Berend John Wiersum - Chief Executive Officer of Sappi Europe
Executives,Mark Gardner - President and Chief Executive Officer of Sappi North America
Executives,Mohammed Valli Moosa - Non-independent
Executives,Glen Thomas Pearce - Executive Director and Chief Financial Officer
Analysts,Brian Morgan - RMB Morgan Stanley Research
Analysts,Ross Krige - J.P. Morgan
Analysts,David Roux - Bank of America Merrill Lynch
