company,Manchester United Ltd.
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222499-manchester-united-ltd-manu-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Manchester United Ltd. (MANU) on Q1 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q1
symbol,MANU
year,18
