company,YogaWorks Inc
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222310-yogaworks-inc-yoga-ceo-rosanna-mccollough-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">YogaWorks Inc (YOGA) CEO Rosanna McCollough On Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,YOGA
year,18
