company,"Dollar Tree, Inc."
symbol,DLTR
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267371-dollar-tree-inc-dltr-ceo-gary-philbin-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Dollar Tree, Inc. (DLTR) CEO Gary Philbin on Q1 2019 Results - Earnings Call Transcript</a>"
