company,Viacom Inc.
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4222941-viacom-inc-via-ceo-robert-bakish-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Viacom Inc. (VIA) CEO Robert Bakish on Q4 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q4
symbol,VIA
year,18
