company,Ideanomics
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222309-ideanomics-idex-ceo-brett-mcgonegal-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ideanomics (IDEX) CEO Brett McGonegal on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,IDEX
year,18
