company,NVIDIA Corp
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222728-nvidia-corp-nvda-ceo-jen-hsun-huang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">NVIDIA Corp (NVDA) CEO Jen-Hsun Huang on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NVDA
year,18
