company,K&S AG
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222636-k-and-s-ag-kpluy-ceo-burkhard-lohr-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">K&amp;S AG (KPLUY) CEO Burkhard Lohr on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,KPLUY
year,18
