company,Suburban Propane Partners LP
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222489-suburban-propane-partners-lp-sph-ceo-mike-stivala-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Suburban Propane Partners LP (SPH) CEO Mike Stivala on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,SPH
year,18
