company,"Progressive Care, Inc."
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222354-progressive-care-inc-rxmd-ceo-shital-mars-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Progressive Care, Inc. (RXMD) CEO Shital Mars on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,RXMD
year,18
