company,"Nautilus, Inc."
symbol,NLS
month,10
day,29
year,18
quarter,Q3
link,"<a class=""dashboard-article-link"" href=""/article/4215655-nautilus-inc-nls-ceo-bruce-cazenave-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Nautilus, Inc. (NLS) CEO Bruce Cazenave on Q3 2018 Results - Earnings Call Transcript</a>"
