company,Nutanix
symbol,NTNX
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267430-nutanix-ntnx-ceo-dheeraj-pandey-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Nutanix (NTNX) CEO Dheeraj Pandey on Q3 2019 Results - Earnings Call Transcript</a>"
