company,Hexindai Inc.
symbol,HX
month,6
day,18
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270836-hexindai-inc-hx-ceo-xiaobo-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Hexindai Inc. (HX) CEO Xiaobo An on Q4 2019 Results - Earnings Call Transcript</a>"
