company,HEICO Corporation
symbol,HEI
month,5
day,28
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267111-heico-corporation-hei-ceo-laurans-mendelson-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">HEICO Corporation (HEI) CEO Laurans Mendelson on Q2 2019 Results - Earnings Call Transcript</a>"
