company,Ferroglobe PLC
symbol,GSM
month,6
day,3
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4268255-ferroglobe-plc-gsm-ceo-pedro-larrea-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ferroglobe PLC (GSM) CEO Pedro Larrea on Q1 2019 Results - Earnings Call Transcript</a>"
