company,"America's Car-Mart, Inc."
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4222891-americas-car-mart-inc-crmt-ceo-jeffrey-williams-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">America's Car-Mart, Inc. (CRMT) CEO Jeffrey Williams on Q2 2019 Results - Earnings Call Transcript</a>"
month,10
quarter,Q2
symbol,CRMT
year,18
