company,National Bank of Canada
symbol,NTIOF
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267393-national-bank-canada-ntiof-ceo-louis-vachon-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">National Bank of Canada (NTIOF) CEO Louis Vachon on Q2 2019 Results - Earnings Call Transcript</a>"
