company,Telkonet's
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222363-telkonets-tkoi-ceo-jason-tienor-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Telkonet's (TKOI) CEO Jason Tienor on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,TKOI
year,18
