company,Canadian Solar Inc.
symbol,CSIQ
month,5
day,30
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4267323-canadian-solar-inc-csiq-ceo-yan-zhuang-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Canadian Solar Inc. (CSIQ) CEO Yan Zhuang on Q1 2019 Results - Earnings Call Transcript</a>"
