company,"Limbach Holdings, Inc."
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223712-limbach-holdings-inc-lmb-ceo-charlie-bacon-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Limbach Holdings, Inc. (LMB) CEO Charlie Bacon on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,LMB
year,18
