type,name
Executives,"Jeremy Hellman - IR, The Equity Group"
Executives,Charlie Bacon - Chief Executive Officer
Executives,John Jordan - Chief Financial Officer
Analysts,Brent Thielman - D.A. Davidson
Analysts,Gerry Sweeney - ROTH Capital Partners
Analysts,Justyn Putnam - Talanta Investment Group
